1	1	0	20	0	0
1	1	1	2	68	48
1	1	2	20	0	0
1	1	3	20	0	0
1	1	4	6	22	6
1	1	5	5	26	8
1	1	6	5	29	9
1	1	7	8	88	15
1	1	8	9	121	17
1	1	9	7	58	11
1	1	10	8	71	12
1	1	11	12	104	7
1	1	12	14	103	5
1	1	13	15	160	6
1	1	14	14	123	5
1	1	15	16	298	8
1	1	16	17	219	5
1	1	17	18	284	5
1	1	18	20	323	4
1	1	19	18	424	7
1	1	20	22	371	3
1	1	21	18	559	9
1	1	22	26	647	2
1	1	23	26	905	3
1	1	24	24	1018	5
1	1	25	29	1785	3
1	1	26	24	1465	6
1	1	27	30	3312	4
1	1	28	29	12229	15
1	1	29	30	39168	36
1	1	30	29	19024	22
1	1	31	30	30573	29
1	1	32	29	13510	17
1	1	33	30	80778	84
1	1	34	33	9867	5
1	1	35	34	614	0
1	1	36	34	534	0
1	2	0	20	0	0
1	2	1	2	68	48
1	2	2	20	0	0
1	2	3	20	0	0
1	2	4	6	22	6
1	2	5	5	26	8
1	2	6	5	29	9
1	2	7	8	88	15
1	2	8	9	121	17
1	2	9	7	58	11
1	2	10	8	71	12
1	2	11	12	104	7
1	2	12	14	103	5
1	2	13	15	160	6
1	2	14	14	123	5
1	2	15	16	298	8
1	2	16	17	219	5
1	2	17	18	284	5
1	2	18	20	323	4
1	2	19	18	424	7
1	2	20	22	371	3
1	2	21	18	559	9
1	2	22	26	647	2
1	2	23	26	905	3
1	2	24	24	1018	5
1	2	25	29	1785	3
1	2	26	24	1465	6
1	2	27	30	3312	4
1	2	28	29	12229	15
1	2	29	30	39168	36
1	2	30	29	19024	22
1	2	31	30	30573	29
1	2	32	29	13510	17
1	2	33	30	80778	84
1	2	34	33	9867	5
1	2	35	34	614	0
1	2	36	34	534	0
1	3	0	20	0	0
1	3	1	2	57	41
1	3	2	20	0	0
1	3	3	20	0	0
1	3	4	4	37	13
1	3	5	7	49	11
1	3	6	6	76	20
1	3	7	8	134	21
1	3	8	9	179	23
1	3	9	9	106	14
1	3	10	11	142	12
1	3	11	11	166	14
1	3	12	14	129	6
1	3	13	13	218	12
1	3	14	20	150	2
1	3	15	18	318	6
1	3	16	18	208	4
1	3	17	17	349	7
1	3	18	22	404	3
1	3	19	18	506	9
1	3	20	22	577	4
1	3	21	22	910	6
1	3	22	23	967	5
1	3	23	25	1363	5
1	3	24	22	1496	9
1	3	25	32	2621	2
1	3	26	31	2163	2
1	3	27	28	4551	7
1	3	28	29	15225	18
1	3	29	30	39386	38
1	3	30	32	18309	13
1	3	31	30	27261	26
1	3	32	29	14290	18
1	3	33	31	76521	64
1	3	34	31	9094	7
1	3	35	25	496	2
1	3	36	34	430	0
1	4	0	20	0	0
1	4	1	2	62	43
1	4	2	20	0	0
1	4	3	20	0	0
1	4	4	4	41	15
1	4	5	4	49	17
1	4	6	7	66	15
1	4	7	6	131	35
1	4	8	9	190	26
1	4	9	10	74	8
1	4	10	11	127	10
1	4	11	12	167	11
1	4	12	17	135	3
1	4	13	14	233	9
1	4	14	16	150	4
1	4	15	16	343	10
1	4	16	16	245	6
1	4	17	16	296	8
1	4	18	25	432	2
1	4	19	20	552	6
1	4	20	21	632	6
1	4	21	23	958	5
1	4	22	22	1109	8
1	4	23	30	1481	2
1	4	24	27	1675	4
1	4	25	29	2751	4
1	4	26	36	2377	0
1	4	27	32	5140	4
1	4	28	29	16089	21
1	4	29	33	38314	22
1	4	30	32	17831	13
1	4	31	31	27699	22
1	4	32	32	15228	10
1	4	33	30	74631	69
1	4	34	32	8761	6
1	4	35	29	513	1
1	4	36	33	394	0
1	5	0	20	0	0
1	5	1	2	65	47
1	5	2	20	0	0
1	5	3	20	0	0
1	5	4	6	43	12
1	5	5	4	38	13
1	5	6	6	62	15
1	5	7	7	137	26
1	5	8	8	214	35
1	5	9	7	92	18
1	5	10	11	108	9
1	5	11	11	138	12
1	5	12	11	140	11
1	5	13	14	203	9
1	5	14	17	112	3
1	5	15	16	312	9
1	5	16	19	191	3
1	5	17	21	308	3
1	5	18	21	394	4
